thetacrank,Fx,Fy,sigmax1,sigmay1,tauxy1,sigma11,sigmax2,sigmay2,tauxy2,sigma12,sigmax3,sigmay3,tauxy3,sigma13,sigmax4,sigmay4,tauxy4,sigma14
4.347456500422239,-168.1949890521013,-731.1184200691864,-3027509.8029378233,-877342.1040830236,-168194.9890521013,-864264.7349210673,0.0,-831962.3400787292,-336389.9781042026,118994.11088141275,-9835964.272052709,-684963.6842222238,-75.68774507344558,-684963.6835962115,0.0,-812353.8000768739,-373766.6423380029,145802.42661199026
4.3791897595494085,-174.08542848118861,-747.5698543993005,-3133537.712661395,-897083.8252791606,-174085.4284811886,-883614.1514944383,0.0,-850682.9377647211,-348170.8569623772,124329.62439881271,-10180434.414104598,-700376.5568296853,-78.33844281653487,-700376.5561823361,0.0,-830633.1715547784,-386856.50773597474,152262.3285591653
4.410923018676578,-180.12829038156036,-765.0615326891112,-3242309.2268680865,-918073.8392269334,-180128.29038156033,-904196.747648085,0.0,-870587.2613358849,-360256.58076312067,129742.07518011634,-10533818.150968444,-716764.0038912501,-81.05773067170216,-716764.003221971,0.0,-850068.369654568,-400285.0897368008,158817.0045501056
4.4426562778037475,-186.33290913257576,-783.664975222721,-3353992.364386364,-940397.9702672651,-186332.90913257576,-926097.5349252962,0.0,-891756.6959430961,-372665.8182651515,135230.34521163936,-10896661.35278221,-734193.03069081,-83.84980910965909,-734193.0299989711,0.0,-870738.8613585789,-414073.1314057239,165465.90393590316
4.474389536930918,-192.70912048885324,-803.4577574683306,-3468764.1687993584,-964149.3089619967,-192709.12048885322,-949408.7113185339,0.0,-914279.5171191345,-385418.24097770645,140793.33078592864,-11269539.20987446,-752736.3154389607,-86.71910421998395,-752736.3147238959,0.0,-892730.8416314784,-428242.48997522943,172208.51908166416
4.506122796058087,-199.26728314034185,-824.5240901580867,-3586811.0965261534,-989428.908189704,-199267.28314034184,-974230.3539467715,0.0,-938251.5508695466,-398534.5662806837,146429.9033610688,-11653057.493587244,-772472.7527330188,-89.67027741315381,-772472.7519940175,0.0,-916137.8779534297,-442816.1847563152,179044.33693063306
4.537856055185257,-206.01829985427582,-846.9554619435665,-3708329.397376965,-1016346.5543322797,-206018.2998542758,-1000671.1859656337,0.0,-963776.9049702652,-412036.59970855166,152138.86564706045,-12047853.792647712,-793488.0556423435,-92.70823493442411,-793488.0548786568,0.0,-941061.6243817406,-457818.4441206129,185972.7849036306
4.569589314312426,-212.97363779909543,-870.851351737498,-3833525.480383718,-1045021.6220849976,-212973.63779909542,-1028849.4262513467,0.0,-990968.7795633596,-425947.27559819084,157918.90230280667,-12454598.701701488,-815875.4230806725,-95.83813700959294,-815875.4222915005,0.0,-967612.6130416645,-473274.7506646565,192993.1703155659
4.601322573439596,-220.14534754110323,-896.3200186604391,-3962616.255739858,-1075584.022392527,-220145.34754110326,-1058893.7313482242,0.0,-1019950.3660618787,-440290.69508220645,163768.524534046,-12873996.932228262,-839736.2798843017,-99.06540639349646,-839736.2790687997,0.0,-995911.1318449324,-489211.88342467387,200104.61236954923
4.6330558325667655,-227.54608007014247,-923.4793783978924,-4095829.4412625646,-1108175.2540774709,-227546.08007014246,-1090944.240214701,0.0,-1050855.8443838083,-455092.1601402849,169686.00777932897,-13306788.308195468,-865181.0978456961,-102.3957360315641,-865181.0970029682,0.0,-1026088.1982198806,-505657.9557114277,207305.96565426193
4.664789091693935,-235.18910104566265,-952.457975740752,-4233403.8188219275,-1142949.5708889025,-235189.10104566265,-1125153.733446183,0.0,-1083831.489636028,-470378.20209132525,175669.32155692833,-13753748.59916156,-892330.3068584838,-105.83509547054817,-892330.3059875788,0.0,-1058286.6397119467,-522642.44676813926,214595.7339202743
4.696522350821105,-243.08830125222948,-983.3960641294975,-4375589.422540132,-1180075.276955397,-243088.3012522295,-1161688.9198926883,0.0,-1119036.900561152,-486176.602504459,181716.05041886936,-14215690.131709328,-921315.3063111615,-109.38973556350328,-921315.3054110734,0.0,-1092662.2934772195,-540196.2250049544,221971.9727437516
4.728255609948275,-251.25820200610957,-1016.4468041458052,-4522647.636109972,-1219736.1649749663,-251258.20200610958,-1200731.8649193044,0.0,-1156646.3633383298,-502516.40401221917,187823.30481845047,-14693462.105620446,-952279.5879191925,-113.0661909027493,-952279.5869888533,0.0,-1129385.3379397837,-558351.5600135769,229432.17950038158
4.759988869075444,-259.71395395199994,-1051.7775940846927,-4674851.171135999,-1262133.1129016313,-259713.95395199995,-1242481.5759656641,0.0,-1196850.3656825812,-519427.9079039999,193987.62054350984,-15187950.523508769,-985379.9822995334,-116.87127927839995,-985379.9813378127,0.0,-1168641.771205214,-577142.1198933332,236973.16886654927
4.791722128202614,-268.47132731973284,-1089.5715469783472,-4832483.891755192,-1307485.8563740165,-268471.3273197328,-1287155.7625249967,0.0,-1239857.27759605,-536942.6546394656,200204.84519909148,-15700077.62103701,-1020788.0427515038,-120.81209729387979,-1020788.0417572083,0.0,-1210635.0521981637,-596602.9495994063,244590.93183825654
4.823455387329783,-277.5466912604843,-1130.0291297016556,-4995840.442688717,-1356034.9556419866,-277546.6912604843,-1334992.7891494345,0.0,-1285895.2165570562,-555093.3825209686,206470.0100398406,-16230800.658507854,-1058691.5808873097,-124.89601106721793,-1058691.579859173,0.0,-1255587.9218907284,-616770.4250232985,252280.4760103342
4.855188646456953,-286.9569793337993,-1173.369981025928,-5165225.628008388,-1408043.9772311135,-286956.97933379933,-1386253.8415430668,0.0,-1335214.1163398488,-573913.9586675985,212777.18525553297,-16781109.902561363,-1099296.369913952,-129.13064070020968,-1099296.3688506354,0.0,-1303744.4233621422,-637682.1762973318,260035.644590204
4.886921905584122,-296.71963755004623,-1219.8349266384928,-5340953.475900833,-1463801.9119661914,-296719.6375500462,-1441225.3271506457,0.0,-1388088.0199679397,-593439.2751000925,219119.31660440785,-17352025.587722003,-1142828.0324467546,-133.5238368975208,-1142828.0313468464,0.0,-1355372.1407094365,-659376.9723334361,267848.9113336534
4.918655164711293,-306.8525505635501,-1269.688210120818,-5523345.9101439025,-1523625.8521449815,-306852.5505635501,-1500221.5327764195,0.0,-1444817.6184133443,-613705.1011271002,225488.0410723159,-17944593.60020761,-1189534.1306481883,-138.08364775359755,-1189534.1295101978,0.0,-1410764.6779120201,-681894.5568078891,275711.14828935894
