step,Fx,Fy
77.0,81.50290899952995,-502.75147545106336
78.0,78.57152929686559,-503.21792995436743
79.0,75.56103472442179,-503.6787669487186
80.0,72.47445659504562,-504.13214873171864
81.0,69.31490283127519,-504.57627222165104
82.0,66.08555483592659,-505.00937583933484
83.0,62.789664288689636,-505.42974615877176
84.0,59.43054987196618,-505.8357243073314
85.0,56.011593929233904,-506.22571209798645
86.0,52.536239059315704,-506.59817787780213
87.0,49.007984649969515,-506.9516620785015
88.0,45.430383354310344,-507.2847824564494
89.0,41.807037513581726,-507.59623901083506
90.0,38.141595529907896,-507.88481857015546
91.0,34.43774819265947,-508.1493990383397
92.0,30.699224962146438,-508.38895329297856
93.0,26.929790214355286,-508.6025527291597
94.0,23.133239450558968,-508.7893704433397
95.0,19.31339547555996,-508.9486840525393
96.0,15.474104548438417,-509.0798781449045
97.0,11.619232509725865,-509.1824463583675
98.0,7.752660888791366,-509.255993084765
99.0,3.87828299550709,-509.3002347973282
100.0,0.0,-509.31500099997726
101.0,-0.0,-509.31500099997754
102.0,-3.8792181402497317,-509.4230389963896
103.0,-7.760142716172533,-509.74745859418687
104.0,-11.644487447086727,-510.2891778724556
105.0,-15.533980635974572,-511.04973115005146
106.0,-19.430372502274366,-512.0312752978755
107.0,-23.33544256394234,-513.2365986398007
108.0,-27.25100708566836,-514.6691325067628
109.0,-31.178926610121078,-516.3329655280579
110.0,-35.12111358969804,-518.2328607642944
111.0,-39.07954013650335,-520.3742758078857
112.0,-43.056245908769384,-522.7633859997127
113.0,-47.053346152563236,-525.4071109348534
114.0,-51.07303991811949,-528.3131444563174
115.0,-55.11761847089015,-531.4899883638632
116.0,-59.18947391809622,-534.9469900954665
117.0,-63.29110807239293,-538.694384672253
118.0,-67.42514157506932,-542.7433412340312
119.0,-71.59432330212918,-547.1060145324283
120.0,-75.80154007750929,-551.7956017924716
121.0,-80.04982671863884,-556.8264054018154
122.0,-84.34237644046888,-562.2139019402517
123.0,-88.682551645068,-567.9748181213353
124.0,-93.07389512467724,-574.1272142835894
125.0,-97.52014170693846,-580.6905761416916
126.0,-102.02523037157268,-587.6859155891666
127.0,-106.59331686823667,-595.1358814344535
128.0,-111.22878686532438,-603.0648810529381
129.0,-115.93626965926407,-611.499214049931
130.0,-120.72065247296919,-620.4672191550803
131.0,-125.58709537068877,-629.9994357089735
132.0,-130.54104681408913,-640.1287812595036
133.0,-135.58825988101916,-650.8907469610431
134.0,-140.73480916352798,-662.323612665798
135.0,-145.98710835521732,-674.4686838165313
136.0,-151.35192852927005,-687.3705524958888
137.0,-156.83641709713513,-701.0773852630575
138.0,-162.44811742321488,-715.6412407168317
139.0,-168.1949890521013,-731.1184200691864
140.0,-174.08542848118861,-747.5698543993005
141.0,-180.12829038156036,-765.0615326891112
142.0,-186.33290913257576,-783.664975222721
143.0,-192.70912048885324,-803.4577574683306
144.0,-199.26728314034185,-824.5240901580867
145.0,-206.01829985427582,-846.9554619435665
