thetacrank,Fx,Fy,sigmax1,sigmay1,tauxy1,sigma11,sigmax2,sigmay2,tauxy2,sigma12,sigmax3,sigmay3,tauxy3,sigma13,sigmax4,sigmay4,tauxy4,sigma14
7.514563332204731,12549.754803783555,-54015.68632533552,225895586.468104,-64818823.590402626,12549754.803783555,162048670.5465756,0.0,-61466125.81848523,25099509.607567113,8946989.236940585,733903789.6949447,-50605732.93679645,5647.3896617025985,683298056.8048234,0.0,-120034858.5007456,55776688.016815804,21916267.968468174
7.5303502299614635,12337.991937135374,-52800.84330348813,222083854.86843672,-63361011.96418575,12337991.937135372,159676185.1008016,0.0,-60083718.24190027,24675983.874270745,8835093.943896454,721519996.3237062,-49467581.6754488,5552.096371710917,672052414.6941254,0.0,-117335207.34108473,54835519.72060166,21636953.755996816
7.546137127718197,12130.233125715316,-51630.08464691504,218344196.26287574,-61956101.57629805,12130233.125715317,157323381.9519452,0.0,-58751475.63269641,24260466.251430634,8722873.641179156,709370358.228966,-48370731.77982522,5458.604906571893,660999626.4942186,0.0,-114733521.43758899,53912147.22540141,21357218.181034878
7.561924025474929,11926.400536078196,-50501.570337489575,214675209.64940757,-60601884.4049875,11926400.536078196,154991049.39880636,0.0,-57467304.17714329,23852801.072156392,8610408.769012429,697450323.7472631,-47313459.390205465,5366.880241235188,650136864.4013612,0.0,-112225711.86108795,53006224.604791984,21077249.960921407
7.5777109232316615,11726.415137655107,-49413.545546069916,211075472.47779197,-59296254.6552839,11726415.137655107,152679852.77519625,0.0,-56229207.00070023,23452830.27531021,8497773.886326183,685755271.2079011,-46294120.45796327,5276.886811944797,639461150.7934833,0.0,-109807878.99126649,52117400.61180048,20797223.10224934
7.593497820988395,11530.197051065486,-48364.336592389016,207543546.91917878,-58037203.91086682,11530197.051065486,150390345.52570546,0.0,-55035279.57064956,23060394.10213097,8385038.0465652235,674280529.3020753,-45311146.96050412,5188.588672979469,628969382.3843737,0.0,-107476303.53864226,51245320.226957716,20517297.86736232
7.609284718745127,11337.665857419212,-47352.347074750265,204077985.43354583,-56822816.48970032,11337665.857419211,148122979.37835044,0.0,-53883705.291957185,22675331.714838423,8272265.153216392,663021395.1707143,-44363043.2752892,5101.949635838645,618658351.9374998,0.0,-105227437.94388948,50389626.03297427,20237621.686973654
7.6250716165018595,11148.740872363158,-46376.05416676243,200677335.70253685,-55651265.00011491,11148740.872363158,145878113.6847415,0.0,-52772751.29321241,22297481.744726315,8159514.295906726,651973150.4305941,-43448382.7103535,5016.93339256342,608524767.7616023,0.0,-103057898.14836095,49549959.43272515,19958330.021293513
7.640858514258593,10963.341388286484,-45434.005077614,197340144.98915672,-54520806.093136795,10963341.388286484,143656023.99320596,0.0,-51700764.3986642,21926682.77657297,8046840.06792761,641131075.338391,-42565804.18803938,4933.503624728917,598565271.1910145,0.0,-100964455.72803111,48725961.72571771,19679547.172043048
7.656645412015325,10781.386887791843,-44524.813671810785,194064963.9802532,-53429776.406172946,10781386.887791842,141456909.91548932,0.0,-50666167.281715706,21562773.775583684,7934292.866040003,630490461.2743769,-41714009.07812651,4851.624099506329,588776452.2362286,0.0,-98944030.38180175,47917275.05685264,19401387.04771951
7.6724323097720575,10602.797231255232,-43647.15724385695,190850350.1625942,-52376588.69262834,10602797.231255231,139280902.34309283,0.0,-49667454.794733755,21205594.462510463,7821919.173405301,620046621.7108324,-40891758.176123954,4771.258754064854,579154863.5740155,0.0,-96993682.76412655,47123543.25002325,19123953.88443605
7.688219207528791,10427.492821037933,-42799.773443032034,187694870.7786828,-51359728.131638445,10427492.821037933,137128070.06505015,0.0,-48703190.46965713,20854985.642075866,7709761.826470569,609794901.8150839,-40097868.822182715,4692.371769467069,569697033.0315503,0.0,-95110607.6511823,46344412.53794637,18847342.924607337
7.704006105285523,10255.394744678677,-41981.45734318155,184597105.4042162,-50377748.81181786,10255394.744678676,134998425.835011,0.0,-47772003.18362038,20510789.489357352,7597860.266619615,599730686.8233144,-39331212.15586742,4614.927635105405,560399474.7054513,0.0,-93292127.42929234,45579532.1985719,18571641.055695772
7.7197930030422555,10086.424899177058,-41191.05865228521,181555648.18518704,-49429270.38274225,10086424.899177058,132891931.9317877,0.0,-46872583.98363488,20172849.798354115,7486250.777377367,589849409.3086,-38590710.50188153,4538.8912046296755,551258698.8440902,0.0,-91535685.89396714,44828555.10745359,18296927.41116067
7.735579900798988,9920.50609828293,-40427.47905648109,178569109.76909277,-48512974.8677773,9920506.098282931,130808505.25410625,0.0,-46003683.06427158,19841012.196565863,7374966.70793055,580146555.4551421,-37875334.8817605,4464.227744227319,542271220.6101332,0.0,-89838842.34773576,44091138.2145908,18023273.935679816
7.75136679855572,9757.562164526656,-39689.669693192875,175636118.96147984,-47627603.63183145,9757562.164526656,128748021.98711093,0.0,-45164106.89225394,19515124.329053313,7264038.683700401,570617670.4401554,-37184102.646517776,4390.902974036994,533433567.82978094,0.0,-88199265.98487306,43366942.953451805,17750745.91663354
7.7671536963124534,9597.5180075621,-38976.62874802238,172755324.1361178,-46771954.49762685,9597518.007562099,126710321.87523279,0.0,-44352715.47188752,19195036.015124198,7153494.80467546,561258363.0153275,-36516075.22524304,4318.8831034029445,524742287.8256309,0.0,-86614730.55116084,42655635.58916489,17479402.48376157
7.782940594069186,9440.299690245369,-38287.39917012276,169925394.42441663,-45944879.00414731,9440299.690245368,124695212.13329452,0.0,-43568419.745312095,18880599.38049074,7043360.832183313,552064309.3710743,-35870355.98470143,4248.134860610416,516193953.42133385,0.0,-85083109.26693946,41956887.51220164,17209297.07881996
7.798727491825918,9285.83448373644,-37621.06650085028,167145020.70725596,-45145279.80102033,9285834.48373644,122702471.02518857,0.0,-42810179.1216572,18571668.967472877,6933660.364750132,543031256.3588562,-35246088.195060305,4178.6255176813975,507785168.19818234,0.0,-83602370.00188951,41270375.48327307,16940477.896981068
7.814514389582651,9134.050912789471,-36976.756810600746,164412916.43021047,-44372108.172720894,9134050.912789471,120731851.13715726,0.0,-42076999.12930429,18268101.825578943,6824415.003669478,534155024.13973516,-34642453.096970946,4110.322910755262,499512571.07658666,0.0,-82170570.69022389,40595781.83461987,16672988.301642105
