Time,X [N],Y [N],Z [N]
131,-420.16234637843627,0.0,0.0
132,-427.4953677339212,0.0,0.0
133,-434.9592911934464,0.0,0.0
134,-442.554209266253,0.0,0.0
135,-450.27983753092,0.0,0.0
136,-458.13546609824726,0.0,0.0
137,-466.1199061505757,0.0,0.0
138,-474.2314311319789,0.0,0.0
139,-482.4677121390206,0.0,0.0
140,-490.82574703777306,0.0,0.0
141,-499.30178281126484,0.0,0.0
142,-507.89123062274496,0.0,0.0
143,-516.5885730659217,0.0,0.0
144,-525.3872630649342,0.0,0.0
145,-534.2796138862344,0.0,0.0
146,-543.2566797340788,0.0,0.0
147,-552.3081264235867,0.0,0.0
148,-561.42209166369,0.0,0.0
149,-570.5850345403381,0.0,0.0
150,-579.7815738726462,0.0,0.0
151,-588.9943152261889,0.0,0.0
152,-598.2036665143224,0.0,0.0
153,-607.387642306624,0.0,0.0
154,-616.5216572009768,0.0,0.0
155,-625.5783089100792,0.0,0.0
156,-634.5271520737158,0.0,0.0
157,-643.3344642433841,0.0,0.0
158,-651.9630060066665,0.0,0.0
159,-660.3717778333453,0.0,0.0
160,-668.5157769439571,0.0,0.0
161,-676.3457583314397,0.0,0.0
162,-683.808005014014,0.0,0.0
163,-690.8441136649175,0.0,0.0
164,-697.3908029509591,0.0,0.0
165,-703.3797532076138,0.0,0.0
166,-708.7374874697089,0.0,0.0
167,-713.3853053337859,0.0,0.0
168,-717.2392826146125,0.0,0.0
169,-720.2103512156954,0.0,0.0
170,-722.2044749902308,0.0,0.0
171,-723.1229385299029,0.0,0.0
172,-722.8627666673187,0.0,0.0
173,-721.3172928749229,0.0,0.0
174,-718.3768945277646,0.0,0.0
175,-713.9299119893426,0.0,0.0
176,-707.8637664887578,0.0,0.0
177,-700.0662885892483,0.0,0.0
178,-690.4272645239791,0.0,0.0
179,-678.8402016442951,0.0,0.0
180,-665.2043065984473,0.0,0.0
181,-649.4266606217658,0.0,0.0
182,-631.4245655766086,0.0,0.0
183,-611.1280223734657,0.0,0.0
184,-588.4822905433177,0.0,0.0
185,-563.4504646012032,0.0,0.0
186,-536.0159902175511,0.0,0.0
187,-506.1850320275691,0.0,0.0
188,-473.98859621734323,0.0,0.0
189,-439.4843059375278,0.0,0.0
190,-402.7577271733096,0.0,0.0
191,-363.92314785507466,0.0,0.0
192,-323.1237243480932,0.0,0.0
193,-280.5309272333569,0.0,0.0
194,-236.34324218718066,0.0,0.0
195,-190.78411093349666,0.0,0.0
196,-144.0991302458831,0.0,0.0
197,-96.55256186392188,0.0,0.0
198,-48.42324066430533,0.0,0.0
199,-0.0,0.0,0.0
